[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 7  QQMusic                        0x00000001036e51e0 +[QMLaunchManager(Speedometer) executeInMain:as:] + 496
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 13 QQMusic                        0x00000001029752b0 -[QQMusicSceneDelegate scene:willConnectToSession:options:] + 448
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 14 UIKitCore                      0x0000000198650ef0 0x0000000198602000 + 323312
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 15 UIKitCore                      0x00000001991ce0a0 0x0000000198602000 + 12370080
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 16 UIKitCore                      0x00000001991ce430 0x0000000198602000 + 12370992
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 17 UIKitCore                      0x0000000198cc3fd0 0x0000000198602000 + 7086032
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 18 FrontBoardServices             0x00000001a5d705d0 0x00000001a5d66000 + 42448
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 19 FrontBoardServices             0x00000001a5d9bd40 0x00000001a5d66000 + 220480
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 20 FrontBoardServices             0x00000001a5d7f6a0 0x00000001a5d66000 + 104096
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 21 FrontBoardServices             0x00000001a5d9ba00 0x00000001a5d66000 + 219648
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 22 libdispatch.dylib              0x00000001963cb810 0x00000001963c7000 + 18448
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 23 libdispatch.dylib              0x00000001963cf300 0x00000001963c7000 + 33536
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 24 FrontBoardServices             0x00000001a5dc3fa0 0x00000001a5d66000 + 384928
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 25 FrontBoardServices             0x00000001a5dc3c30 0x00000001a5d66000 + 384048
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 26 FrontBoardServices             0x00000001a5dc4180 0x00000001a5d66000 + 385408
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 27 CoreFoundation                 0x00000001967589e0 0x00000001966b5000 + 670176
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 28 CoreFoundation                 0x00000001967588e0 0x00000001966b5000 + 669920
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 29 CoreFoundation                 0x0000000196757c50 0x00000001966b5000 + 666704
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 30 CoreFoundation                 0x0000000196751bc0 0x00000001966b5000 + 641984
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 31 CoreFoundation                 0x0000000196751360 CFRunLoopRunSpecific + 600
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 32 GraphicsServices               0x00000001add8f730 GSEventRunModal + 160
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 33 UIKitCore                      0x00000001991cc580 0x0000000198602000 + 12363136
